index,Date,HomeTeamId,AwayTeamId,HTR,FTR
5977,04/11/17,342.0,355.0,A,A
5978,04/11/17,349.0,1081.0,H,H
5979,04/11/17,351.0,69.0,H,H
5980,04/11/17,356.0,322.0,A,H
5981,05/11/17,343.0,71.0,H,H
5982,18/11/17,332.0,351.0,H,H
5983,18/11/17,715.0,402.0,H,H
5984,18/11/17,63.0,342.0,H,D
5985,18/11/17,322.0,349.0,D,D
5986,18/11/17,68.0,357.0,H,D
5987,18/11/17,69.0,58.0,D,A
5988,18/11/17,355.0,76.0,A,A
5989,18/11/17,345.0,387.0,D,D
5990,18/11/17,71.0,384.0,A,D
5991,19/11/17,341.0,343.0,H,H
5992,21/11/17,58.0,71.0,H,H
5993,21/11/17,357.0,715.0,D,A
5994,21/11/17,387.0,1081.0,A,A
5995,21/11/17,342.0,69.0,H,H
5996,21/11/17,384.0,322.0,D,D
5997,21/11/17,351.0,68.0,D,H
5998,21/11/17,356.0,63.0,A,A
5999,22/11/17,349.0,345.0,D,D
6000,22/11/17,343.0,332.0,H,H
6001,22/11/17,76.0,341.0,H,H
6002,25/11/17,58.0,349.0,H,H
6003,25/11/17,357.0,341.0,A,A
6004,25/11/17,63.0,384.0,H,H
6005,25/11/17,322.0,387.0,H,A
6006,25/11/17,343.0,342.0,A,A
6007,25/11/17,68.0,1081.0,H,D
6008,25/11/17,355.0,345.0,D,D
6009,25/11/17,356.0,332.0,A,D
6010,26/11/17,351.0,715.0,A,A
6011,27/11/17,69.0,402.0,D,D
6012,28/11/17,342.0,349.0,A,A
6013,28/11/17,355.0,357.0,H,H
6014,01/12/17,715.0,68.0,A,H
6015,01/12/17,341.0,58.0,H,D
6016,02/12/17,402.0,63.0,D,H
6017,02/12/17,387.0,343.0,D,H
6018,02/12/17,349.0,351.0,D,H
6019,02/12/17,384.0,356.0,D,H
6020,02/12/17,1081.0,69.0,D,H
6021,02/12/17,345.0,322.0,A,D
6022,02/12/17,71.0,355.0,D,A
6023,04/12/17,332.0,76.0,A,A
6024,08/12/17,356.0,387.0,A,A
6025,09/12/17,58.0,384.0,D,D
6026,09/12/17,357.0,342.0,A,A
6027,09/12/17,63.0,332.0,H,H
6028,09/12/17,322.0,402.0,D,H
6029,09/12/17,343.0,349.0,H,H
