id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
325577,27,2,2022,7,11,15,24.0,0.0,682,675,2.0,0.0,2.0,1.0,0.0,-5.0,5.0,0.0,0.0,11.0,5.0
325578,19,2,2022,6,17,45,23.0,0.0,672,678,0.0,0.0,0.0,1.0,1.0,-3.0,3.0,-1.0,1.0,14.0,5.0
325579,20,2,2022,7,15,45,23.0,0.0,674,673,1.0,1.0,3.0,1.0,4.0,0.0,0.0,-4.0,1.0,21.0,5.0
325580,20,2,2022,7,11,20,23.0,0.0,684,677,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,-2.0,2.0,7.0,5.0
325581,19,2,2022,6,15,30,23.0,0.0,1915,683,0.0,1.0,1.0,1.0,3.0,-1.0,1.0,-3.0,1.0,18.0,5.0
325582,16,4,2022,6,16,45,23.0,0.0,1920,6806,2.0,0.0,3.0,0.0,1.0,-3.0,3.0,-1.0,1.0,13.0,5.0
325583,20,2,2022,7,13,30,23.0,0.0,675,1909,2.0,1.0,3.0,1.0,5.0,0.0,0.0,-5.0,0.0,16.0,5.0
325584,20,2,2022,7,15,45,23.0,0.0,676,679,1.0,0.0,1.0,1.0,2.0,-1.0,1.0,-2.0,2.0,6.0,5.0
325585,20,2,2022,7,13,30,23.0,0.0,666,718,0.0,1.0,2.0,2.0,2.0,-1.0,1.0,-2.0,2.0,15.0,5.0
325586,19,2,2022,6,20,0,23.0,0.0,682,671,1.0,1.0,2.0,1.0,2.0,-2.0,2.0,-2.0,1.0,20.0,5.0
325587,12,2,2022,6,19,0,22.0,0.0,679,674,0.0,3.0,0.0,5.0,0.0,-4.0,4.0,0.0,1.0,18.0,5.0
325588,13,2,2022,7,11,15,22.0,0.0,6806,672,0.0,0.0,1.0,0.0,3.0,-2.0,2.0,-3.0,0.0,13.0,5.0
325589,13,2,2022,7,13,30,22.0,0.0,673,1915,0.0,1.0,0.0,1.0,1.0,-2.0,2.0,-1.0,2.0,10.0,5.0
325591,13,2,2022,7,13,30,22.0,0.0,683,675,0.0,1.0,0.0,2.0,0.0,-5.0,5.0,0.0,0.0,13.0,5.0
325592,11,2,2022,5,19,0,22.0,0.0,671,676,0.0,0.0,1.0,0.0,1.0,-4.0,4.0,-1.0,0.0,9.0,5.0
325593,13,2,2022,7,11,15,22.0,0.0,718,682,1.0,3.0,1.0,4.0,0.0,-5.0,5.0,0.0,0.0,21.0,5.0
325594,12,2,2022,6,17,45,22.0,0.0,677,1920,0.0,0.0,0.0,1.0,2.0,-3.0,3.0,-2.0,0.0,22.0,5.0
325595,13,2,2022,7,15,45,22.0,0.0,678,666,1.0,0.0,5.0,0.0,2.0,-2.0,2.0,-2.0,1.0,12.0,5.0
325596,6,2,2022,7,15,45,21.0,0.0,678,671,1.0,0.0,3.0,0.0,4.0,0.0,0.0,-4.0,1.0,16.0,5.0
325597,6,2,2022,7,13,30,21.0,0.0,672,683,3.0,0.0,3.0,1.0,3.0,-1.0,1.0,-3.0,1.0,13.0,5.0
325598,6,2,2022,7,13,30,21.0,0.0,677,718,1.0,0.0,2.0,1.0,4.0,0.0,0.0,-4.0,1.0,12.0,5.0
325599,6,2,2022,7,11,15,21.0,0.0,675,6806,2.0,0.0,4.0,0.0,4.0,0.0,0.0,-4.0,1.0,17.0,5.0
325600,5,2,2022,6,20,0,21.0,0.0,666,679,2.0,0.0,3.0,0.0,4.0,0.0,0.0,-4.0,1.0,14.0,5.0
325601,5,2,2022,6,19,0,21.0,0.0,674,682,1.0,1.0,1.0,2.0,3.0,-2.0,2.0,-3.0,0.0,17.0,5.0
325602,5,2,2022,6,19,0,21.0,0.0,684,1915,1.0,1.0,1.0,1.0,1.0,-2.0,2.0,-1.0,2.0,14.0,5.0
325603,5,2,2022,6,17,45,21.0,0.0,1920,673,1.0,0.0,2.0,0.0,2.0,-2.0,2.0,-2.0,1.0,16.0,5.0
325604,5,2,2022,6,15,30,21.0,0.0,676,1909,2.0,2.0,3.0,2.0,3.0,-1.0,1.0,-3.0,1.0,13.0,5.0
325605,23,1,2022,7,15,45,20.0,0.0,6806,676,0.0,1.0,0.0,3.0,1.0,-4.0,4.0,-1.0,0.0,14.0,5.0
325606,23,1,2022,7,13,30,20.0,0.0,674,678,0.0,1.0,1.0,2.0,4.0,0.0,0.0,-4.0,1.0,22.0,5.0
325607,23,1,2022,7,13,30,20.0,0.0,671,718,1.0,0.0,1.0,1.0,1.0,-3.0,3.0,-1.0,1.0,15.0,5.0
325608,23,1,2022,7,11,15,20.0,0.0,1915,675,1.0,1.0,1.0,4.0,0.0,-4.0,4.0,0.0,1.0,28.0,5.0
325609,22,1,2022,6,20,0,20.0,0.0,672,666,0.0,1.0,0.0,1.0,1.0,-2.0,2.0,-1.0,2.0,9.0,5.0
325610,22,1,2022,6,19,0,20.0,0.0,673,684,0.0,1.0,0.0,1.0,2.0,-2.0,2.0,-2.0,1.0,10.0,5.0
