id,date,status,league_name,league_id,league_type,stage,home_team,home_team_id,away_team,away_team_id,venue,home_odds,draw_odds,away_odds,home/away,draw,both_score,>1.5,>2.5,>3.5,>4.5,elevation,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m
327033,2022-05-10 19:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Liverpool,64,Villa Park,6.79,4.32,1.48,0,0,1,0,0,0,0,100.0,12.6,0.0,84.0,17.9,230.0,65.0
327035,2022-05-11 18:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Chelsea,61,Elland Road,4.83,4.15,1.65,0,0,1,0,0,0,0,43.0,10.6,0.0,0.0,16.9,268.0,71.0
327156,2022-05-11 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Norwich,68,King Power Stadium,1.49,4.47,6.53,1,0,1,0,0,0,0,54.0,10.8,0.0,1.0,11.3,287.0,71.0
327064,2022-05-11 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Everton,62,Vicarage Road Stadium,4.14,3.63,1.89,0,1,0,0,0,0,0,72.0,11.6,0.0,3.0,10.7,284.0,78.0
327042,2022-05-11 19:15:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Man City,65,Molineux Stadium,9.42,4.89,1.34,0,0,1,1,1,0,0,130.0,10.1,0.0,2.0,11.0,251.0,75.0
327145,2022-05-12 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Arsenal,57,Tottenham Hotspur Stadium,2.37,3.47,2.96,1,0,1,0,0,0,0,13.0,13.0,0.0,17.0,13.9,260.0,60.0
326999,2022-05-15 11:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Burnley,328,Tottenham Hotspur Stadium,1.31,5.4,9.61,1,0,1,0,0,0,0,13.0,17.8,1.3,90.0,12.2,104.0,81.0
326995,2022-05-15 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Brighton Hove,397,Elland Road,2.4,3.46,2.86,0,1,1,0,0,0,0,43.0,16.8,0.0,79.0,22.0,91.0,66.0
326993,2022-05-15 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Crystal Palace,354,Villa Park,2.07,3.49,3.52,0,1,1,0,0,0,0,100.0,18.8,0.0,100.0,21.1,137.0,63.0
327001,2022-05-15 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Man City,65,London Stadium,7.33,4.94,1.4,0,1,1,1,0,0,0,10.0,15.7,1.4,90.0,10.4,90.0,86.0
