HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfYear,DayOfWeek,HourOfDay,MinuteOfHour,target
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.26,3.22,3.46,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.6,4.17,5.29,42.0,0.0,15.0,0.0,1.0
